location,lat,lon,date,count,cumulative
Ouaddai,13.52413558,21.28130901,4/23/2023,0,0
Sila,12.12529385,21.28190981,4/23/2023,0,0
Wadi Fira,15.09235292,21.47985493,4/23/2023,0,0
Ennedi-Est,17.76224255,23.05083941,4/23/2023,0,0
Ouaddai,13.52413558,21.28130901,5/12/2023,60,60
Sila,12.12529385,21.28190981,5/12/2023,25,25
Wadi Fira,15.09235292,21.47985493,5/12/2023,5,5
Ennedi-Est,17.76224255,23.05083941,5/12/2023,0,0
Ouaddai,13.52413558,21.28130901,6/12/2023,230,290
Sila,12.12529385,21.28190981,6/12/2023,47,72
Wadi Fira,15.09235292,21.47985493,6/12/2023,6,11
Ennedi-Est,17.76224255,23.05083941,6/12/2023,0,0
Ouaddai,13.52413558,21.28130901,7/12/2023,299,589
Sila,12.12529385,21.28190981,7/12/2023,49,121
Wadi Fira,15.09235292,21.47985493,7/12/2023,9,20
Ennedi-Est,17.76224255,23.05083941,7/12/2023,0,0
Ouaddai,13.52413558,21.28130901,8/12/2023,299,888
Sila,12.12529385,21.28190981,8/12/2023,57,178
Wadi Fira,15.09235292,21.47985493,8/12/2023,9,29
Ennedi-Est,17.76224255,23.05083941,8/12/2023,0,0
Ouaddai,13.52413558,21.28130901,9/12/2023,327,1215
Sila,12.12529385,21.28190981,9/12/2023,66,244
Wadi Fira,15.09235292,21.47985493,9/12/2023,3,32
Ennedi-Est,17.76224255,23.05083941,9/12/2023,0,0
Ouaddai,13.52413558,21.28130901,10/12/2023,346,1561
Sila,12.12529385,21.28190981,10/12/2023,72,316
Wadi Fira,15.09235292,21.47985493,10/12/2023,3,35
Ennedi-Est,17.76224255,23.05083941,10/12/2023,2,2
Ouaddai,13.52413558,21.28130901,11/12/2023,346,1907
Sila,12.12529385,21.28190981,11/12/2023,72,388
Wadi Fira,15.09235292,21.47985493,11/12/2023,3,38
Ennedi-Est,17.76224255,23.05083941,11/12/2023,2,4
Ouaddai,13.52413558,21.28130901,12/12/2023,360,2267
Sila,12.12529385,21.28190981,12/12/2023,81,469
Wadi Fira,15.09235292,21.47985493,12/12/2023,39,77
Ennedi-Est,17.76224255,23.05083941,12/12/2023,4,8
Ouaddai,13.52413558,21.28130901,1/12/2024,368,2635
Sila,12.12529385,21.28190981,1/12/2024,81,550
Wadi Fira,15.09235292,21.47985493,1/12/2024,41,118
Ennedi-Est,17.76224255,23.05083941,1/12/2024,6,14
Ouaddai,13.52413558,21.28130901,2/12/2024,380,3015
Sila,12.12529385,21.28190981,2/12/2024,93,643
Wadi Fira,15.09235292,21.47985493,2/12/2024,73,191
Ennedi-Est,17.76224255,23.05083941,2/12/2024,7,21
Ouaddai,13.52413558,21.28130901,3/12/2024,392,3407
Sila,12.12529385,21.28190981,3/12/2024,93,736
Wadi Fira,15.09235292,21.47985493,3/12/2024,79,270
Ennedi-Est,17.76224255,23.05083941,3/12/2024,7,28
Ouaddai,13.52413558,21.28130901,4/12/2024,393,3800
Sila,12.12529385,21.28190981,4/12/2024,93,829
Wadi Fira,15.09235292,21.47985493,4/12/2024,79,349
Ennedi-Est,17.76224255,23.05083941,4/12/2024,7,35
Ouaddai,13.52413558,21.28130901,5/12/2024,423,4223
Sila,12.12529385,21.28190981,5/12/2024,94,923
Wadi Fira,15.09235292,21.47985493,5/12/2024,80,429
Ennedi-Est,17.76224255,23.05083941,5/12/2024,7,42
Ouaddai,13.52413558,21.28130901,6/12/2024,427,4650
Sila,12.12529385,21.28190981,6/12/2024,94,1017
Wadi Fira,15.09235292,21.47985493,6/12/2024,80,509
Ennedi-Est,17.76224255,23.05083941,6/12/2024,7,49
Ouaddai,13.52413558,21.28130901,7/12/2024,440,5090
Sila,12.12529385,21.28190981,7/12/2024,94,1111
Wadi Fira,15.09235292,21.47985493,7/12/2024,84,593
Ennedi-Est,17.76224255,23.05083941,7/12/2024,7,56
Ouaddai,13.52413558,21.28130901,8/12/2024,449,5539
Sila,12.12529385,21.28190981,8/12/2024,94,1205
Wadi Fira,15.09235292,21.47985493,8/12/2024,86,679
Ennedi-Est,17.76224255,23.05083941,8/12/2024,7,63
Ouaddai,13.52413558,21.28130901,9/29/2024,449,5988
Sila,12.12529385,21.28190981,9/29/2024,93,1298
Wadi Fira,15.09235292,21.47985493,9/29/2024,85,764
Ennedi-Est,17.76224255,23.05083941,9/29/2024,7,70